Algorithm,# Floors,# Vertices,# Robots,Traversal Time,Computation Time (sec)
COCTA,2,42,5,44,0.006592750549316406
DFS-BGS,2,42,5,283,0.007832765579223633
COCTA,2,42,10,35,0.005626201629638672
DFS-BGS,2,42,10,329,0.016726970672607422
COCTA,2,42,15,30,0.005082130432128906
DFS-BGS,2,42,15,299,0.013018131256103516
COCTA,2,42,20,26,0.004815816879272461
DFS-BGS,2,42,20,181,0.012209892272949219
COCTA,2,42,25,22,0.00443577766418457
DFS-BGS,2,42,25,135,0.01376199722290039
COCTA,2,42,30,13,0.0031409263610839844
DFS-BGS,2,42,30,67,0.011638164520263672
COCTA,2,42,35,12,0.002855062484741211
DFS-BGS,2,42,35,67,0.011749267578125
COCTA,2,42,40,10,0.0023741722106933594
DFS-BGS,2,42,40,77,0.012811660766601562
COCTA,2,42,45,10,0.0024919509887695312
DFS-BGS,2,42,45,77,0.012868881225585938
COCTA,2,42,50,10,0.0026895999908447266
DFS-BGS,2,42,50,91,0.014405965805053711
COCTA,2,42,55,10,0.0025472640991210938
DFS-BGS,2,42,55,91,0.01447296142578125
COCTA,2,42,60,10,0.0025069713592529297
DFS-BGS,2,42,60,91,0.014405012130737305
COCTA,2,42,65,10,0.002724885940551758
DFS-BGS,2,42,65,91,0.014434099197387695
COCTA,2,42,70,10,0.002644062042236328
DFS-BGS,2,42,70,91,0.014312982559204102
COCTA,2,42,75,10,0.0027511119842529297
DFS-BGS,2,42,75,91,0.014294147491455078
COCTA,2,42,80,10,0.002834796905517578
DFS-BGS,2,42,80,91,0.014501810073852539
COCTA,2,42,85,10,0.0029828548431396484
DFS-BGS,2,42,85,91,0.014314889907836914
COCTA,2,42,90,10,0.0029840469360351562
DFS-BGS,2,42,90,91,0.014406919479370117
COCTA,2,42,95,10,0.0029168128967285156
DFS-BGS,2,42,95,91,0.014225959777832031
COCTA,2,42,100,10,0.0028138160705566406
DFS-BGS,2,42,100,91,0.01412510871887207
COCTA,3,82,5,95,0.019910812377929688
DFS-BGS,3,82,5,589,0.019250154495239258
COCTA,3,82,10,73,0.017673969268798828
DFS-BGS,3,82,10,607,0.03528022766113281
COCTA,3,82,15,63,0.016214847564697266
DFS-BGS,3,82,15,625,0.0438380241394043
COCTA,3,82,20,56,0.014757871627807617
DFS-BGS,3,82,20,353,0.029059886932373047
COCTA,3,82,25,49,0.013730049133300781
DFS-BGS,3,82,25,319,0.03073883056640625
COCTA,3,82,30,34,0.011289119720458984
DFS-BGS,3,82,30,325,0.031080961227416992
COCTA,3,82,35,32,0.010418176651000977
DFS-BGS,3,82,35,229,0.03234720230102539
COCTA,3,82,40,30,0.01061701774597168
DFS-BGS,3,82,40,231,0.03703784942626953
COCTA,3,82,45,29,0.011134147644042969
DFS-BGS,3,82,45,231,0.03633475303649902
COCTA,3,82,50,24,0.009840965270996094
DFS-BGS,3,82,50,285,0.041873931884765625
COCTA,3,82,55,21,0.008970022201538086
DFS-BGS,3,82,55,165,0.034438133239746094
COCTA,3,82,60,18,0.008055925369262695
DFS-BGS,3,82,60,95,0.03179287910461426
COCTA,3,82,65,17,0.0076978206634521484
DFS-BGS,3,82,65,111,0.032739877700805664
COCTA,3,82,70,14,0.006413936614990234
DFS-BGS,3,82,70,111,0.03282594680786133
COCTA,3,82,75,13,0.005991935729980469
DFS-BGS,3,82,75,111,0.03249406814575195
COCTA,3,82,80,13,0.006041049957275391
DFS-BGS,3,82,80,111,0.03259992599487305
COCTA,3,82,85,13,0.006326913833618164
DFS-BGS,3,82,85,111,0.044004201889038086
COCTA,3,82,90,13,0.018693923950195312
DFS-BGS,3,82,90,111,0.08188414573669434
COCTA,3,82,95,12,0.00995779037475586
DFS-BGS,3,82,95,111,0.054410457611083984
COCTA,3,82,100,12,0.0058002471923828125
DFS-BGS,3,82,100,111,0.032196044921875
COCTA,4,122,5,141,0.05232834815979004
DFS-BGS,4,122,5,929,0.05229306221008301
COCTA,4,122,10,104,0.06804013252258301
DFS-BGS,4,122,10,949,0.07439994812011719
COCTA,4,122,15,93,0.03454089164733887
DFS-BGS,4,122,15,979,0.10668301582336426
COCTA,4,122,20,84,0.06721305847167969
DFS-BGS,4,122,20,521,0.10714197158813477
COCTA,4,122,25,75,0.0587918758392334
DFS-BGS,4,122,25,519,0.12436985969543457
COCTA,4,122,30,54,0.041155099868774414
